                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.77024,                 0.3331,                0.92597,                0.96992,                0.98394,                0.98706,                0.73849,                0.94781,                0.32169,                 1.0096,               0.007921,               0.007921,               0.007921
                    107,                0.77021,                 0.3348,                0.92351,                0.96721,                0.98436,                 0.9873,                 0.7377,                0.94836,                0.32089,                 0.9988,              0.0079012,              0.0079012,              0.0079012
                    108,                0.75846,                0.32906,                 0.9179,                0.97092,                0.98427,                0.98758,                0.73695,                0.94943,                0.31816,                 1.0019,              0.0078814,              0.0078814,              0.0078814
                    109,                0.76762,                0.33067,                0.92175,                0.97003,                0.98431,                0.98798,                0.74284,                0.94347,                 0.3172,                0.99892,              0.0078616,              0.0078616,              0.0078616
                    110,                0.75844,                0.32797,                0.92292,                0.97153,                  0.978,                 0.9875,                 0.7419,                 0.9415,                0.31619,                 1.0051,              0.0078418,              0.0078418,              0.0078418
                    111,                0.75917,                0.32558,                0.91733,                0.96964,                0.97647,                0.98531,                 0.7387,                0.95028,                0.31596,                 1.0038,               0.007822,               0.007822,               0.007822
                    112,                 0.7555,                0.32885,                0.91878,                0.96371,                0.98694,                0.98822,                0.73956,                0.95069,                0.32119,                 1.0081,              0.0078022,              0.0078022,              0.0078022
                    113,                0.75424,                0.32701,                0.92378,                0.96931,                0.98127,                0.98749,                0.73929,                0.95053,                0.32083,                 1.0092,              0.0077824,              0.0077824,              0.0077824
                    114,                0.75695,                0.32681,                0.92408,                 0.9734,                0.97883,                0.98862,                0.73946,                0.95098,                0.31959,                 1.0098,              0.0077626,              0.0077626,              0.0077626
                    115,                0.75689,                0.32792,                 0.9168,                0.97082,                0.97808,                0.98745,                0.73624,                0.95055,                0.31659,                0.99923,              0.0077428,              0.0077428,              0.0077428
                    116,                0.75469,                0.32953,                0.91522,                0.97109,                0.98082,                0.98943,                0.73912,                0.95243,                0.31801,                 1.0046,               0.007723,               0.007723,               0.007723
                    117,                 0.7424,                0.32398,                0.91426,                0.96159,                0.98711,                0.98902,                0.73689,                0.95085,                0.31963,                 1.0072,              0.0077032,              0.0077032,              0.0077032
